mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.01641	0.01698	0.02792	0.02516	0.00537	0.02397	0.02679	0.0069	0.01565	0.01503	0.02425	0.03848	0.02053	0.05077	0.02332
0.02043	0.01555	0.01953	0.02408	0.00687	0.02709	0.03796	0.0151	0.00793	0.01919	0.0252	0.02778	0.02642	0.03439	0.03725
0.02187	0.02132	0.02583	0.02913	0.00307	0.03229	0.02451	0.01309	0.01032	0.01799	0.04347	0.02804	0.02496	0.0295	0.0556
0.01371	0.01583	0.02351	0.02017	0.00916	0.09448	0.02879	0.00796	0.0167	0.01958	0.02766	0.03347	0.04167	0.04763	0.02204
0.01356	0.02976	0.02504	0.01809	0.00876	0.02664	0.03494	0.01132	0.01679	0.01912	0.02294	0.03627	0.0367	0.03086	0.03468
0.04636	0.01518	0.02939	0.02323	0.01501	0.03329	0.03154	0.00598	0.0127	0.01413	0.03515	0.02219	0.02363	0.0221	0.03075
0.00919	0.01597	0.01814	0.02607	0.00531	0.03015	0.03134	0.00628	0.01524	0.01845	0.03163	0.02102	0.02694	0.02744	0.02895
0.00892	0.02014	0.02156	0.02212	0.03048	0.02605	0.0311	0.02983	0.00783	0.02491	0.05083	0.019	0.02616	0.03815	0.02832
0.02138	0.01754	0.04402	0.01917	0.00875	0.03198	0.05691	0.01685	0.01093	0.0251	0.03431	0.01987	0.03179	0.03307	0.03354
0.01376	0.01219	0.01634	0.02991	0.0081	0.06412	0.01829	0.00521	0.00642	0.01523	0.0297	0.02096	0.02766	0.02949	0.02017
0.01491	0.02537	0.0167	0.01899	0.00857	0.02499	0.01858	0.01042	0.01011	0.03147	0.02619	0.02839	0.02597	0.02659	0.03341
0.0105	0.01542	0.02849	0.01938	0.01324	0.02671	0.02893	0.00278	0.02058	0.0281	0.02311	0.01595	0.03633	0.03274	0.01136
0.01509	0.01334	0.0252	0.02023	0.00519	0.04433	0.0275	0.0062	0.00878	0.02027	0.0351	0.03953	0.01993	0.03718	0.02332
0.01818	0.01413	0.03176	0.01563	0.01115	0.01707	0.02311	0.00884	0.01098	0.01927	0.03185	0.01883	0.03111	0.02906	0.04901
0.01049	0.00965	0.03089	0.01454	0.01569	0.04676	0.03972	0.00863	0.00484	0.02402	0.03239	0.03385	0.02555	0.02634	0.02456
0.02518	0.0158	0.02277	0.02328	0.02131	0.03461	0.02297	0.008	0.00649	0.02159	0.03371	0.05358	0.02753	0.038	0.01788
0.01005	0.00828	0.02833	0.01502	0.00631	0.02298	0.01496	0.00458	0.01209	0.02096	0.03711	0.02206	0.01825	0.01774	0.02033
0.0146	0.01026	0.02326	0.01281	0.00908	0.03027	0.02703	0.00438	0.00848	0.04476	0.02107	0.01973	0.02318	0.01923	0.05425
0.01464	0.01863	0.02135	0.00777	0.00687	0.01854	0.01937	0.0049	0.00986	0.01119	0.03378	0.03001	0.02739	0.02708	0.04435
0.01054	0.00942	0.02908	0.01699	0.01675	0.03314	0.04471	0.01302	0.00433	0.01547	0.03147	0.01999	0.02291	0.02342	0.05219
0.01658	0.01488	0.03554	0.01793	0.01226	0.03114	0.0279	0.00528	0.01217	0.01498	0.03619	0.03354	0.02577	0.02322	0.02269
0.0126	0.01243	0.03032	0.01508	0.01507	0.02071	0.04238	0.01445	0.00476	0.03176	0.03397	0.04526	0.02315	0.01669	0.01601
0.0087	0.01201	0.02464	0.01284	0.01336	0.02065	0.02896	0.00517	0.02102	0.02721	0.03828	0.04961	0.02681	0.03049	0.01352
0.01635	0.01826	0.02896	0.01554	0.01382	0.03276	0.0253	0.00864	0.00607	0.0202	0.02696	0.04421	0.03994	0.01989	0.02136
0.01162	0.00722	0.02082	0.01606	0.00596	0.03168	0.02185	0.00817	0.00829	0.01438	0.01947	0.03296	0.02821	0.02158	0.02472
0.01872	0.00963	0.01407	0.00497	0.00928	0.02564	0.02595	0.01043	0.01232	0.01488	0.03014	0.03588	0.02257	0.01894	0.01721
0.0102	0.02001	0.01737	0.01047	0.01091	0.02079	0.0183	0.00887	0.00459	0.0143	0.01828	0.02762	0.02927	0.0258	0.02432
0.01645	0.00994	0.03478	0.01572	0.01122	0.02814	0.01997	0.01195	0.02216	0.01323	0.02245	0.02054	0.03499	0.02903	0.02057
0.01322	0.00922	0.01574	0.00557	0.01277	0.02673	0.03764	0.00462	0.01908	0.01733	0.02644	0.01722	0.01971	0.01685	0.02324
0.00572	0.01367	0.02126	0.01129	0.00977	0.03171	0.02532	0.00926	0.00892	0.0156	0.03019	0.04498	0.02768	0.01712	0.0116
0.00637	0.02327	0.0156	0.00609	0.00785	0.02281	0.02924	0.01697	0.00987	0.02072	0.02621	0.025	0.0322	0.01535	0.01514
0.01804	0.00684	0.01459	0.00879	0.0094	0.02094	0.05684	0.00459	0.01701	0.0142	0.02361	0.04803	0.02624	0.03306	0.01617
0.01406	0.00841	0.02623	0.00656	0.01002	0.02265	0.01751	0.00712	0.01833	0.02293	0.0348	0.03484	0.03528	0.01929	0.01896
0.01184	0.00696	0.02259	0.01139	0.0159	0.03178	0.02629	0.00242	0.00513	0.02024	0.04379	0.02068	0.02669	0.01869	0.01377
0.01374	0.02358	0.02848	0.00643	0.00919	0.02335	0.0241	0.00991	0.00918	0.01105	0.0317	0.03119	0.02349	0.01663	0.01557
0.01303	0.01771	0.01734	0.00463	0.02761	0.02155	0.01795	0.01391	0.01357	0.01434	0.03117	0.04003	0.0152	0.0066	0.01125
0.01124	0.02046	0.01829	0.01101	0.02133	0.02519	0.0259	0.00353	0.00694	0.02545	0.02778	0.02488	0.03209	0.02091	0.00985
0.0125	0.01633	0.01944	0.00448	0.01976	0.0218	0.0291	0.0085	0.00357	0.01644	0.0176	0.02656	0.02452	0.01126	0.00889
0.01889	0.01192	0.02568	0.00839	0.01653	0.01509	0.02939	0.00473	0.00622	0.01847	0.02636	0.02198	0.02518	0.01547	0.01527
0.00899	0.01054	0.01872	0.00923	0.01815	0.01724	0.02689	0.00696	0.00975	0.02434	0.02798	0.01739	0.03407	0.01633	0.01387
0.01498	0.01323	0.02973	0.00951	0.02308	0.0222	0.02056	0.00341	0.00599	0.03146	0.02455	0.01828	0.02253	0.03138	0.01242
0.01645	0.00981	0.01785	0.00528	0.04202	0.02981	0.02358	0.0078	0.01304	0.02195	0.04106	0.02606	0.03751	0.01872	0.01337
0.01391	0.01675	0.02624	0.01024	0.02672	0.04529	0.02428	0.00572	0.0073	0.0283	0.03331	0.03562	0.02502	0.02205	0.01338
0.0119	0.01285	0.03689	0.00747	0.00629	0.02168	0.03617	0.00566	0.01126	0.01812	0.01789	0.03429	0.03868	0.02563	0.02118
0.0148	0.01336	0.02148	0.0109	0.02201	0.02564	0.01433	0.01015	0.0104	0.0174	0.02509	0.03867	0.03016	0.02033	0.02325
0.01704	0.02708	0.02	0.00995	0.00975	0.03279	0.0243	0.01262	0.00778	0.02297	0.03257	0.02467	0.02219	0.01245	0.02892
0.02218	0.01119	0.03105	0.00287	0.01089	0.02997	0.02646	0.01158	0.00864	0.02374	0.02531	0.02838	0.03633	0.01048	0.01817
0.01961	0.02678	0.02595	0.00452	0.01997	0.02825	0.04761	0.00426	0.01612	0.02396	0.01747	0.03917	0.05165	0.00665	0.03351
0.01179	0.00934	0.02413	0.00343	0.01543	0.02572	0.03203	0.00647	0.00797	0.01867	0.02636	0.0226	0.02249	0.01088	0.01954
0.01557	0.0367	0.02285	0.01014	0.02353	0.03096	0.02	0.00554	0.01582	0.01727	0.03333	0.03404	0.0316	0.01743	0.01005
