mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.01121	0.01233	0.00345	0.06083	0.08498	0.01744	0.00544	0.00433	0.0023	0.00065	0.00968	0.02727	0.00227	0.05203	0.04999
0.00924	0.00855	0.00143	0.04286	0.10656	0.0076	0.00303	0.00521	0.00258	0.00039	0.00444	0.03556	0.00086	0.04034	0.04137
0.01271	0.01483	0.00034	0.03888	0.10888	0.01399	0.00801	0.007	0.00184	0.00071	0.00246	0.04893	0.00111	0.03313	0.03281
0.00762	0.01077	0.0006	0.03179	0.10464	0.01137	0.00781	0.01279	0.00631	0.00027	0.00302	0.04962	0.00115	0.02618	0.03789
0.01936	0.02575	0.00086	0.03616	0.08476	0.01155	0.00658	0.00866	0.00304	0.00042	0.00213	0.03612	0.0008	0.03021	0.04798
0.01629	0.02242	0.00073	0.03484	0.08379	0.00714	0.00533	0.00548	0.00302	0.0006	0.00219	0.03498	0.00135	0.02901	0.04418
0.01454	0.02028	0.00062	0.03023	0.08325	0.00396	0.0015	0.00652	0.00297	0.00023	0.00249	0.03785	0.00151	0.02558	0.03503
0.01241	0.01576	0.00121	0.03327	0.10198	0.00754	0.00435	0.00713	0.0021	0.00032	0.002	0.03894	0.00115	0.0255	0.0362
0.01544	0.01953	0.00046	0.03258	0.1144	0.00433	0.00302	0.00559	0.00315	0.0005	0.00211	0.04298	0.00139	0.02386	0.03311
0.01448	0.01953	0.00059	0.0336	0.09691	0.00925	0.00974	0.00609	0.00335	0.00043	0.00427	0.05216	0.00097	0.02705	0.03947
0.01595	0.0192	0.0005	0.03566	0.09411	0.00747	0.00653	0.00228	0.00293	0.00072	0.00468	0.04443	0.00195	0.02925	0.04149
0.01432	0.01786	0.00067	0.0381	0.08203	0.0057	0.00565	0.00434	0.00326	0.00061	0.00491	0.03452	0.00161	0.03052	0.04109
0.01615	0.01905	0.00048	0.03141	0.09481	0.0019	0.00142	0.00482	0.00276	0.00023	0.00519	0.03415	0.0016	0.02655	0.03253
0.01586	0.0173	0.00065	0.03362	0.08883	0.008	0.00449	0.00916	0.00285	0.00038	0.00287	0.04592	0.00122	0.02539	0.03554
0.01733	0.02018	0.00083	0.02742	0.08086	0.00676	0.00277	0.00625	0.00164	0.00025	0.00331	0.05039	0.00154	0.01901	0.03715
0.01654	0.01697	0.00069	0.03254	0.09121	0.00491	0.00289	0.00685	0.0031	0.00086	0.00888	0.04199	0.00197	0.02312	0.042
0.01867	0.01928	0.00027	0.03567	0.09769	0.00747	0.00708	0.0051	0.00396	0.00068	0.00329	0.03708	0.00113	0.03008	0.04118
0.01617	0.01878	0.00052	0.04077	0.08816	0.00359	0.00413	0.00408	0.00375	0.00091	0.00557	0.0374	0.00042	0.02796	0.03798
0.01184	0.01543	0.00069	0.03543	0.0982	0.00568	0.00457	0.00474	0.00232	0.0009	0.00648	0.05151	0.00113	0.02901	0.03508
0.01248	0.01412	0.00064	0.04538	0.09855	0.00485	0.00438	0.00487	0.00308	0.00043	0.00613	0.04389	0.00069	0.03743	0.04391
0.01842	0.02134	0.00062	0.03728	0.08553	0.00232	0.00105	0.00417	0.00227	0.00069	0.00362	0.03299	0.00092	0.03066	0.03953
0.01975	0.02011	0.00046	0.04341	0.09798	0.00242	0.00125	0.00224	0.00255	0.00067	0.0041	0.03894	0.00117	0.03616	0.03562
0.02573	0.02849	0.00075	0.04144	0.10599	0.00598	0.00411	0.00722	0.00366	0.00025	0.01098	0.03954	0.00178	0.03468	0.04015
0.01795	0.01846	0.00053	0.03425	0.09714	0.00622	0.00246	0.0048	0.00216	0.00081	0.00199	0.05213	0.00156	0.03267	0.03995
0.02046	0.01995	0.00053	0.04758	0.12827	0.00448	0.00157	0.00429	0.00177	0.00095	0.00601	0.0423	0.00119	0.04464	0.0301
0.01962	0.01826	0.00049	0.0433	0.11312	0.00579	0.00474	0.00287	0.00293	0.00063	0.00404	0.04238	0.00104	0.03952	0.03315
0.01477	0.01692	0.00057	0.04555	0.12006	0.00567	0.00223	0.004	0.0018	0.00032	0.00892	0.05081	0.00114	0.03741	0.04121
0.01776	0.02513	0.0009	0.03653	0.11225	0.002	0.00102	0.00681	0.0027	0.00088	0.00415	0.044	0.00168	0.0306	0.03456
0.02528	0.03162	0.0008	0.03558	0.08714	0.00431	0.0011	0.00644	0.00177	0.00046	0.00452	0.03743	0.00124	0.02662	0.0409
0.02125	0.0296	0.00092	0.0454	0.10926	0.00734	0.00085	0.00417	0.00149	0.00046	0.00794	0.04368	0.00131	0.03759	0.02846
0.01849	0.02257	0.00052	0.04266	0.11589	0.00486	0.00229	0.00405	0.00324	0.00023	0.00798	0.04756	0.00133	0.03475	0.03252
0.02382	0.02489	0.00076	0.03101	0.07858	0.00445	0.0017	0.0041	0.00154	0.00033	0.00835	0.03774	0.00171	0.02472	0.03617
