mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.21386	0.76298	0.04566	0.14428	0.74119	0.05142	0.05939	0.00704	0.0146	0.04667	0.08647	0.40755	0.04713	0.27918	0.9756
0.22152	0.76254	0.04519	0.18453	0.73483	0.04961	0.05636	0.00727	0.01416	0.04622	0.08272	0.40109	0.04649	0.23907	0.97394
0.21975	0.75766	0.04666	0.16121	0.72796	0.04627	0.05879	0.00762	0.01367	0.04636	0.08347	0.38012	0.05095	0.25149	0.96723
0.21121	0.76036	0.04558	0.15239	0.70557	0.05117	0.06315	0.00636	0.01385	0.04715	0.08622	0.40685	0.0515	0.27301	0.95863
0.21055	0.74672	0.0457	0.15358	0.69747	0.05519	0.06302	0.00927	0.01221	0.04555	0.08114	0.46762	0.05248	0.26782	0.94875
0.21029	0.75096	0.04452	0.15649	0.70103	0.05749	0.06692	0.01493	0.01747	0.04616	0.07716	0.52019	0.05149	0.29389	0.94152
0.20554	0.74869	0.04504	0.15748	0.6997	0.06764	0.06739	0.00852	0.01383	0.04587	0.07665	0.54485	0.04744	0.28173	0.93867
0.20708	0.74396	0.04405	0.15947	0.69871	0.05755	0.06801	0.01143	0.01293	0.04614	0.07593	0.54809	0.04632	0.28906	0.9349
0.20008	0.74274	0.0446	0.16706	0.70156	0.04466	0.06919	0.01266	0.01324	0.04561	0.07017	0.53914	0.04568	0.28726	0.93172
0.20312	0.7433	0.04496	0.16857	0.70824	0.05636	0.07001	0.00975	0.01346	0.04593	0.06634	0.54695	0.04174	0.29031	0.92907
0.20354	0.74433	0.04511	0.16541	0.70868	0.0507	0.07062	0.01164	0.01279	0.04541	0.05906	0.5364	0.04139	0.29498	0.92917
0.20096	0.74152	0.04327	0.17576	0.7048	0.06057	0.06847	0.01006	0.02082	0.04455	0.05361	0.51199	0.03981	0.28616	0.926
0.20059	0.74362	0.04334	0.16899	0.70329	0.04587	0.07396	0.01033	0.01265	0.04478	0.05379	0.51851	0.03959	0.28701	0.92688
0.19848	0.73948	0.04438	0.1732	0.7007	0.0473	0.0703	0.01222	0.01433	0.04592	0.06167	0.51626	0.03708	0.29702	0.92425
0.2015	0.73336	0.04308	0.17412	0.70173	0.06131	0.07233	0.01008	0.01265	0.04544	0.05299	0.50057	0.03761	0.29419	0.92553
0.19896	0.73406	0.0432	0.1745	0.69312	0.05441	0.07122	0.01444	0.01252	0.04438	0.0461	0.49834	0.03632	0.29264	0.92401
0.20181	0.72525	0.0427	0.17666	0.69386	0.04682	0.06326	0.01807	0.01169	0.0458	0.04219	0.49158	0.03766	0.29478	0.92062
0.19999	0.72641	0.04213	0.18066	0.69408	0.04903	0.05557	0.00919	0.0109	0.04603	0.03868	0.50541	0.03754	0.28917	0.91883
0.20442	0.73105	0.04198	0.17981	0.69399	0.04999	0.05545	0.01174	0.01373	0.04504	0.04735	0.48034	0.03685	0.29174	0.91814
0.20098	0.73395	0.04309	0.17962	0.69079	0.04423	0.05836	0.00934	0.01151	0.0448	0.03565	0.48589	0.03665	0.29662	0.92004
0.20639	0.72685	0.04065	0.17995	0.6947	0.05528	0.05592	0.00936	0.01243	0.04464	0.03271	0.49604	0.03372	0.29999	0.91805
0.2022	0.72838	0.04032	0.179	0.6928	0.06816	0.05805	0.01089	0.0216	0.04474	0.03294	0.49174	0.03416	0.30238	0.91681
0.2042	0.72269	0.04021	0.18475	0.6965	0.06036	0.05308	0.01458	0.02107	0.04429	0.03303	0.48099	0.03463	0.31189	0.9174
0.20514	0.74032	0.03936	0.19078	0.69681	0.03489	0.04626	0.01066	0.01442	0.04403	0.03281	0.48033	0.03257	0.30343	0.91654
0.20997	0.73594	0.03653	0.1909	0.69919	0.03607	0.05555	0.00942	0.01093	0.04301	0.03776	0.48415	0.03206	0.31039	0.91714
0.212	0.74073	0.03793	0.18592	0.70354	0.04819	0.05783	0.00969	0.01323	0.04427	0.03515	0.47724	0.03531	0.30868	0.91512
0.21503	0.73312	0.03272	0.18985	0.70071	0.0523	0.04363	0.01067	0.01259	0.04391	0.02697	0.49214	0.0378	0.30936	0.91376
0.20782	0.73117	0.03486	0.19055	0.7077	0.05822	0.04936	0.00886	0.01424	0.04332	0.0332	0.49784	0.03651	0.30824	0.91206
0.21629	0.7267	0.03238	0.18648	0.71403	0.02827	0.04099	0.01059	0.01442	0.0432	0.02281	0.49537	0.03635	0.31821	0.91484
0.21914	0.72806	0.02995	0.19723	0.69258	0.03172	0.04537	0.00865	0.01309	0.04229	0.02264	0.51441	0.0388	0.30059	0.91314
0.20773	0.73527	0.02834	0.19746	0.69519	0.04084	0.04595	0.00608	0.0123	0.04161	0.02811	0.5158	0.03963	0.30485	0.91267
0.2239	0.73388	0.02778	0.18468	0.70528	0.04998	0.0405	0.00661	0.01279	0.04336	0.01945	0.519	0.04145	0.31606	0.91424
0.23414	0.72608	0.02548	0.19933	0.69444	0.03376	0.03992	0.01069	0.01413	0.04401	0.0218	0.53502	0.03774	0.31274	0.91029
0.23382	0.72162	0.02558	0.20655	0.70777	0.03448	0.03761	0.00917	0.01309	0.04323	0.02202	0.51844	0.03757	0.30007	0.91169
0.21333	0.7189	0.02086	0.1958	0.70143	0.03738	0.03511	0.01204	0.01856	0.04402	0.03411	0.5422	0.04306	0.30376	0.90985
0.23035	0.7368	0.01941	0.20164	0.70777	0.03743	0.04218	0.01683	0.00974	0.04194	0.0222	0.54591	0.0412	0.30682	0.90984
0.2186	0.73786	0.01894	0.20259	0.70311	0.04872	0.03799	0.0094	0.01281	0.04239	0.02314	0.54695	0.03909	0.30297	0.91069
0.2181	0.74104	0.01783	0.20777	0.7059	0.03858	0.05158	0.01187	0.02049	0.04243	0.03189	0.53939	0.03856	0.29762	0.91126
0.22244	0.73577	0.01574	0.20105	0.70384	0.0563	0.04586	0.01504	0.02527	0.04278	0.02365	0.55987	0.03726	0.30318	0.91028
0.21476	0.74074	0.01569	0.19779	0.71024	0.04645	0.04946	0.0159	0.01643	0.0427	0.01617	0.55117	0.03092	0.30517	0.91041
0.22343	0.73172	0.0158	0.20176	0.69629	0.03833	0.04873	0.00932	0.01317	0.04124	0.02447	0.55857	0.03213	0.29359	0.90954
0.21022	0.72598	0.01456	0.19545	0.71066	0.04713	0.03418	0.01179	0.02763	0.04053	0.0201	0.55933	0.03574	0.30156	0.90915
0.23192	0.738	0.01431	0.19892	0.70969	0.04559	0.049	0.01551	0.01912	0.04122	0.01912	0.56831	0.0348	0.29971	0.90785
0.22947	0.74188	0.01529	0.1955	0.72161	0.04094	0.0481	0.0181	0.01299	0.03943	0.02451	0.57874	0.04076	0.32673	0.90762
0.23817	0.7632	0.01401	0.20112	0.71176	0.04007	0.05679	0.01713	0.00929	0.03853	0.01938	0.57694	0.03464	0.30265	0.90692
0.23372	0.74901	0.01241	0.20641	0.71071	0.05434	0.05296	0.0135	0.00991	0.03706	0.02377	0.58106	0.03645	0.30994	0.9057
0.22835	0.75377	0.01449	0.2025	0.70683	0.05961	0.06171	0.00631	0.01031	0.03567	0.02066	0.59896	0.04206	0.31123	0.90874
0.2448	0.75028	0.01294	0.20061	0.71678	0.0342	0.06035	0.02482	0.01118	0.03677	0.04228	0.61901	0.03578	0.31364	0.90551
0.22953	0.73955	0.01224	0.20982	0.71233	0.07456	0.05894	0.01424	0.01206	0.03561	0.02019	0.60826	0.03191	0.29354	0.90676
0.22563	0.74782	0.01048	0.20178	0.70776	0.03706	0.06441	0.00979	0.01444	0.03303	0.02529	0.61703	0.04098	0.30515	0.90948
0.22613	0.74183	0.01	0.19664	0.71809	0.0402	0.06406	0.00665	0.00873	0.0326	0.0264	0.6246	0.03636	0.32511	0.90601
0.22964	0.76202	0.01043	0.20302	0.71855	0.05259	0.05326	0.01056	0.00962	0.03186	0.01787	0.60874	0.04181	0.31834	0.90662
0.22473	0.76339	0.01006	0.20668	0.72337	0.03731	0.04974	0.00664	0.01002	0.03118	0.02481	0.62477	0.03449	0.31014	0.90669
0.22798	0.74238	0.00956	0.20283	0.72263	0.06053	0.05335	0.01147	0.01127	0.03173	0.02777	0.63339	0.02872	0.31129	0.90525
0.22027	0.74645	0.00875	0.2034	0.71434	0.05238	0.05551	0.00762	0.01075	0.02951	0.02058	0.63043	0.03524	0.31993	0.90396
0.23486	0.74807	0.00836	0.20131	0.70874	0.06302	0.06597	0.00615	0.0105	0.02802	0.02634	0.64508	0.03111	0.34136	0.90749
0.24165	0.77824	0.00756	0.20433	0.72042	0.05333	0.06881	0.01503	0.01044	0.02729	0.01873	0.63113	0.03862	0.33783	0.90424
0.23183	0.76107	0.00798	0.19639	0.71746	0.06671	0.0548	0.01172	0.01104	0.02637	0.01596	0.66084	0.03745	0.33672	0.90395
0.24289	0.76652	0.0084	0.20142	0.72029	0.05654	0.0562	0.00931	0.01017	0.02617	0.01965	0.62863	0.03251	0.30797	0.90552
0.23373	0.75225	0.00583	0.19713	0.71977	0.07205	0.05603	0.01413	0.01531	0.02479	0.02406	0.63406	0.02868	0.31539	0.90596
0.23922	0.75525	0.00553	0.19933	0.73175	0.06252	0.07319	0.00878	0.0094	0.02292	0.02645	0.66654	0.04176	0.33599	0.90616
0.23972	0.73109	0.00593	0.19361	0.72403	0.07394	0.06296	0.00658	0.01396	0.02318	0.02866	0.67778	0.04224	0.33021	0.90722
0.23722	0.75498	0.00606	0.20612	0.7371	0.08771	0.07245	0.0068	0.01022	0.02174	0.02023	0.66921	0.03038	0.33824	0.9061
0.23553	0.74667	0.00377	0.19859	0.7222	0.10215	0.06353	0.00435	0.0107	0.02102	0.03275	0.67966	0.0352	0.32814	0.90615
0.23773	0.75123	0.00405	0.21149	0.72372	0.08201	0.07118	0.00973	0.01044	0.02035	0.01906	0.66709	0.02841	0.32163	0.90298
0.24752	0.75191	0.00585	0.20102	0.71428	0.06912	0.06532	0.00933	0.01175	0.0201	0.03347	0.68865	0.04551	0.34706	0.90694
0.23436	0.75816	0.00556	0.19997	0.70492	0.08038	0.07119	0.00788	0.01421	0.01949	0.02558	0.70019	0.03489	0.32725	0.90887
0.24011	0.74817	0.00623	0.19748	0.71676	0.07361	0.09159	0.0119	0.01251	0.01983	0.0306	0.68124	0.0414	0.33285	0.90837
0.23173	0.75038	0.00638	0.19973	0.71961	0.08441	0.07421	0.01609	0.02482	0.01897	0.02251	0.694	0.0348	0.32822	0.90702
0.23716	0.77187	0.00387	0.2108	0.7225	0.06731	0.07115	0.01353	0.01006	0.01815	0.03258	0.68984	0.02907	0.30468	0.90595
0.24794	0.76296	0.00469	0.2094	0.7103	0.05789	0.07354	0.01159	0.01133	0.01776	0.04265	0.70014	0.03487	0.30852	0.90593
0.23668	0.75199	0.00332	0.21566	0.7048	0.06825	0.07208	0.00845	0.01725	0.01752	0.02875	0.71016	0.04463	0.29597	0.90797
0.23682	0.75328	0.00357	0.19996	0.71666	0.08201	0.06599	0.00764	0.01576	0.0169	0.021	0.68509	0.02961	0.30312	0.91044
0.23826	0.76103	0.00309	0.21073	0.70831	0.07781	0.07134	0.01856	0.01359	0.01901	0.02316	0.67946	0.03042	0.32083	0.90826
0.24218	0.75536	0.00325	0.19843	0.71997	0.08511	0.08011	0.01008	0.0104	0.01655	0.02264	0.6801	0.02904	0.29499	0.90935
0.24638	0.76119	0.00384	0.19311	0.70749	0.11206	0.09738	0.01257	0.01414	0.01814	0.01917	0.69451	0.03171	0.33711	0.90981
0.24615	0.7778	0.00358	0.20027	0.71964	0.13647	0.09714	0.01703	0.01105	0.01649	0.02479	0.70658	0.0313	0.33048	0.91074
0.25229	0.78273	0.00499	0.19375	0.72778	0.11198	0.09538	0.01009	0.01367	0.01562	0.03115	0.7138	0.03801	0.35169	0.91193
0.23948	0.76099	0.00339	0.19284	0.72599	0.09879	0.09508	0.0132	0.0162	0.0167	0.02249	0.70939	0.03353	0.34392	0.91116
0.24724	0.76249	0.00419	0.19173	0.7217	0.10016	0.08589	0.01508	0.01128	0.0159	0.05038	0.72314	0.0463	0.32408	0.91063
