mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.68795	0.60026	0.0459	0.77042	0.59785	0.10778	0.07558	0.02249	0.03222	0.04543	0.07142	0.4735	0.04374	0.48739	0.81475
0.69128	0.59277	0.04429	0.78163	0.59434	0.10084	0.07479	0.02273	0.03157	0.04478	0.07154	0.46723	0.04269	0.46906	0.80504
0.69462	0.60012	0.04359	0.75335	0.58254	0.10275	0.07172	0.02382	0.03333	0.04541	0.06994	0.46587	0.04175	0.47885	0.8165
0.69736	0.58261	0.04383	0.76014	0.58278	0.10318	0.07336	0.02401	0.03459	0.04521	0.07179	0.46228	0.04365	0.47863	0.8109
0.69381	0.59504	0.04329	0.74941	0.57282	0.10059	0.07334	0.02322	0.03752	0.04516	0.07014	0.4676	0.04303	0.50662	0.8133
0.69921	0.60309	0.04431	0.75808	0.55925	0.10301	0.07298	0.0242	0.03699	0.04404	0.07264	0.46701	0.04352	0.50494	0.81475
0.7024	0.59162	0.04548	0.77857	0.55111	0.10284	0.07333	0.02369	0.03562	0.04453	0.07069	0.46589	0.04493	0.52865	0.81089
0.70341	0.60965	0.04494	0.77273	0.53998	0.10132	0.07355	0.02586	0.03834	0.04549	0.07017	0.46879	0.0434	0.53775	0.80695
0.69991	0.59427	0.04328	0.7435	0.52833	0.10319	0.07599	0.02631	0.03478	0.04457	0.07074	0.46326	0.04382	0.54773	0.80521
0.70943	0.60966	0.04481	0.7513	0.50716	0.10283	0.07792	0.0276	0.03605	0.04455	0.07212	0.4591	0.04193	0.55953	0.81044
0.7098	0.58388	0.04444	0.70582	0.50216	0.10093	0.07627	0.02614	0.03536	0.04475	0.07206	0.45546	0.04267	0.55337	0.8026
0.70413	0.5727	0.04426	0.71861	0.48198	0.10025	0.07836	0.02718	0.03643	0.04555	0.07315	0.45496	0.04255	0.55246	0.8042
0.71759	0.60017	0.04439	0.64477	0.47708	0.10131	0.07747	0.02834	0.03687	0.04301	0.07198	0.44841	0.0419	0.57686	0.80675
0.70045	0.59928	0.045	0.67822	0.46381	0.09948	0.07685	0.02804	0.03797	0.04385	0.06834	0.45161	0.04206	0.57964	0.80435
0.69987	0.57687	0.04552	0.63607	0.46709	0.09905	0.07238	0.02615	0.03886	0.04453	0.07163	0.45267	0.04336	0.56891	0.80582
0.72707	0.58402	0.04499	0.57959	0.44748	0.09954	0.08033	0.02591	0.03819	0.04597	0.06928	0.4523	0.04358	0.59287	0.80763
0.71802	0.59241	0.04567	0.54804	0.44006	0.09551	0.07574	0.02696	0.03567	0.04309	0.06961	0.44709	0.04176	0.59717	0.80597
0.71995	0.59271	0.04407	0.62434	0.42198	0.09237	0.07568	0.02788	0.03532	0.04358	0.06783	0.44999	0.0424	0.60348	0.80417
0.7185	0.56334	0.04463	0.60001	0.42335	0.09524	0.07793	0.02908	0.03641	0.0434	0.06969	0.45424	0.04298	0.58648	0.80119
0.71935	0.59256	0.04384	0.48676	0.40739	0.0961	0.07259	0.03011	0.03411	0.04482	0.07086	0.44541	0.04261	0.6062	0.79346
0.71285	0.59113	0.04391	0.53376	0.41782	0.09962	0.07461	0.02563	0.03641	0.04475	0.06917	0.44263	0.04173	0.56726	0.79549
0.71445	0.58082	0.04493	0.54346	0.38251	0.09926	0.07494	0.027	0.03353	0.04257	0.06742	0.44027	0.04265	0.56044	0.796
0.73064	0.55751	0.04443	0.42919	0.4004	0.10251	0.07836	0.02542	0.03603	0.0444	0.06922	0.44428	0.04357	0.52663	0.80048
0.72359	0.54806	0.04551	0.56937	0.37407	0.10016	0.07829	0.02542	0.03895	0.04326	0.06736	0.4451	0.04309	0.52831	0.7983
0.74456	0.56968	0.04395	0.53926	0.37851	0.1036	0.07735	0.0264	0.03848	0.04374	0.06924	0.44387	0.04382	0.49508	0.79448
0.72526	0.55	0.04479	0.59351	0.38245	0.10369	0.07576	0.02759	0.03701	0.04185	0.06827	0.44486	0.04289	0.54951	0.78239
0.75456	0.51799	0.04377	0.58646	0.38971	0.10199	0.07453	0.02752	0.03952	0.04217	0.06715	0.44446	0.04295	0.54345	0.7895
0.72417	0.54365	0.04357	0.4632	0.36643	0.10319	0.07406	0.02929	0.035	0.04217	0.0679	0.43841	0.04153	0.52284	0.79129
0.76237	0.54686	0.04279	0.4643	0.39523	0.10014	0.07287	0.03026	0.03266	0.04034	0.06819	0.44933	0.04086	0.51007	0.79559
0.76506	0.58646	0.04359	0.47006	0.39451	0.10266	0.07413	0.02786	0.03709	0.04062	0.06649	0.45271	0.04144	0.59485	0.7878
0.76664	0.56397	0.04235	0.52494	0.39514	0.10143	0.07534	0.0277	0.03366	0.04039	0.06513	0.43898	0.04064	0.50232	0.80316
0.78959	0.55409	0.04294	0.43813	0.36748	0.09795	0.0775	0.02963	0.03155	0.04075	0.06936	0.44178	0.04175	0.55333	0.78438
0.77584	0.53697	0.04256	0.56175	0.36922	0.09757	0.07158	0.02782	0.03142	0.04031	0.06723	0.43275	0.04381	0.55714	0.7851
0.7889	0.57123	0.04093	0.53501	0.36812	0.09929	0.07647	0.02867	0.03056	0.03917	0.06531	0.43495	0.04191	0.52637	0.79382
0.77515	0.56049	0.04315	0.53488	0.37293	0.09752	0.08078	0.02873	0.03206	0.03778	0.06515	0.43685	0.04059	0.52131	0.8029
0.79751	0.57888	0.04256	0.51365	0.3692	0.09871	0.08078	0.02604	0.03045	0.03756	0.06395	0.43631	0.03882	0.53277	0.79237
0.79309	0.55975	0.0407	0.52432	0.37527	0.10064	0.08097	0.02931	0.03069	0.03589	0.06497	0.43408	0.04063	0.53903	0.79374
0.78082	0.58085	0.04095	0.50259	0.38117	0.09958	0.08021	0.02765	0.02945	0.03485	0.06428	0.42409	0.03872	0.5448	0.79631
0.7856	0.52272	0.04073	0.55019	0.35866	0.09678	0.07759	0.02799	0.03342	0.03193	0.06254	0.42849	0.03868	0.56494	0.79882
0.79889	0.54935	0.03996	0.47609	0.34782	0.09757	0.07805	0.02606	0.03148	0.03205	0.06382	0.43208	0.03978	0.57845	0.78363
0.8131	0.50452	0.04034	0.55254	0.3626	0.09847	0.07566	0.02648	0.03264	0.03098	0.06542	0.43145	0.0384	0.56966	0.78603
0.79831	0.52085	0.04067	0.47172	0.35895	0.10315	0.07858	0.02671	0.03186	0.02885	0.06161	0.4345	0.03766	0.578	0.79445
0.80768	0.57869	0.04013	0.53954	0.34678	0.09725	0.07518	0.0279	0.03237	0.0273	0.05958	0.42543	0.03787	0.56239	0.79318
0.81886	0.52044	0.03922	0.51299	0.35018	0.10029	0.07553	0.02673	0.03632	0.02641	0.06173	0.42977	0.03507	0.49855	0.80353
0.88749	0.56405	0.03995	0.50139	0.36696	0.09709	0.07639	0.02703	0.03408	0.02438	0.05994	0.42259	0.03538	0.5026	0.8122
0.79751	0.56626	0.03843	0.4553	0.32955	0.10118	0.07319	0.0295	0.03546	0.0231	0.05759	0.42641	0.03479	0.56285	0.78981
0.79945	0.53929	0.03831	0.49097	0.35473	0.10321	0.07545	0.02994	0.03405	0.02157	0.05564	0.4155	0.0332	0.43564	0.80482
0.87709	0.53336	0.03686	0.52088	0.3777	0.10342	0.07472	0.02964	0.03082	0.02185	0.05487	0.41669	0.03327	0.54397	0.79754
0.89589	0.57336	0.03658	0.54177	0.32999	0.10421	0.06889	0.03139	0.03522	0.02143	0.0505	0.42187	0.03097	0.53456	0.80101
0.87841	0.5651	0.03611	0.45838	0.33851	0.10336	0.07789	0.03207	0.03547	0.0198	0.04748	0.41078	0.0302	0.54563	0.80209
0.89427	0.58414	0.03623	0.47642	0.34894	0.10279	0.07705	0.03071	0.03481	0.01944	0.04799	0.40383	0.0286	0.49061	0.80788
0.86049	0.55984	0.03476	0.53671	0.3277	0.1064	0.07397	0.03073	0.03912	0.01832	0.04619	0.39244	0.02615	0.4479	0.80327
0.88549	0.58278	0.03374	0.50317	0.32387	0.0961	0.06962	0.03175	0.03671	0.01831	0.04407	0.40243	0.02521	0.47933	0.79623
0.86126	0.57061	0.03316	0.4258	0.33518	0.09207	0.06631	0.03097	0.03799	0.01714	0.04221	0.38942	0.02315	0.5136	0.80781
0.86565	0.5683	0.03232	0.47928	0.3401	0.0947	0.06651	0.03114	0.03346	0.01744	0.03875	0.39365	0.0224	0.5024	0.80173
0.83337	0.60416	0.03178	0.47571	0.2933	0.08822	0.06279	0.02969	0.03531	0.01704	0.0379	0.38309	0.02113	0.42731	0.80588
0.78182	0.57894	0.03137	0.50793	0.30155	0.08734	0.06325	0.03219	0.03642	0.01573	0.0367	0.38322	0.0205	0.35806	0.81513
0.70979	0.55178	0.03027	0.48172	0.31653	0.08968	0.06063	0.02954	0.04114	0.01583	0.03383	0.36958	0.02059	0.41211	0.81104
0.77808	0.52795	0.03067	0.54954	0.32446	0.08602	0.05883	0.02922	0.04404	0.01584	0.03314	0.37289	0.01954	0.30989	0.81245
0.80909	0.50594	0.02978	0.52605	0.35354	0.08275	0.0643	0.03015	0.03683	0.01564	0.03073	0.36923	0.01819	0.35192	0.80428
0.82069	0.55524	0.02797	0.52671	0.30218	0.07904	0.06165	0.03119	0.04002	0.01517	0.02816	0.37984	0.01844	0.29511	0.8089
0.76757	0.50871	0.02628	0.53886	0.30662	0.0836	0.05976	0.02973	0.0395	0.01475	0.02863	0.36982	0.01669	0.28148	0.81297
0.81546	0.55512	0.0263	0.53487	0.28865	0.07641	0.05594	0.03364	0.03756	0.01403	0.02581	0.36282	0.01639	0.32131	0.8064
0.77687	0.48646	0.02448	0.48936	0.33148	0.08108	0.05598	0.02913	0.0361	0.01299	0.02592	0.35363	0.01611	0.29998	0.80313
0.76491	0.52649	0.02451	0.49775	0.29412	0.07329	0.05256	0.03213	0.04161	0.0133	0.02427	0.34575	0.01605	0.40118	0.80465
0.88772	0.58372	0.02249	0.52182	0.2829	0.07436	0.05172	0.03004	0.03866	0.01314	0.02319	0.34792	0.01451	0.43658	0.80014
0.79293	0.56027	0.0227	0.48791	0.27563	0.07633	0.05418	0.0312	0.03881	0.01305	0.02209	0.36464	0.0147	0.2958	0.81061
0.84559	0.5858	0.02192	0.53061	0.29495	0.07721	0.05218	0.02902	0.03773	0.01269	0.02223	0.36197	0.01313	0.24559	0.81087
0.80953	0.62547	0.02	0.51242	0.333	0.06828	0.05342	0.03034	0.04537	0.01241	0.02236	0.31822	0.01404	0.19237	0.80998
0.74261	0.52882	0.01884	0.52893	0.29483	0.07681	0.05607	0.03098	0.04285	0.01228	0.02233	0.34027	0.01405	0.26672	0.81
0.81006	0.53392	0.01936	0.43161	0.32194	0.07619	0.05123	0.03078	0.03863	0.01289	0.021	0.34078	0.01292	0.26509	0.80897
0.81069	0.49746	0.0189	0.50348	0.32685	0.06937	0.04907	0.02968	0.04328	0.0124	0.01976	0.33435	0.01385	0.2027	0.80407
0.72847	0.52488	0.01894	0.4481	0.24043	0.06852	0.04826	0.03226	0.04113	0.01312	0.01803	0.3513	0.01429	0.34095	0.81248
0.73146	0.50617	0.01767	0.5515	0.26707	0.07283	0.04961	0.03164	0.03982	0.01193	0.01881	0.33525	0.01355	0.36767	0.80706
