mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.68264	0.59621	0.03791	0.77024	0.60617	0.09782	0.05246	0.03108	0.01685	0.02236	0.0511	0.44647	0.02612	0.47112	0.78346
0.6608	0.5942	0.03298	0.76856	0.56921	0.09649	0.0574	0.02857	0.02094	0.02147	0.04429	0.44294	0.02218	0.47463	0.79036
0.67319	0.58589	0.03386	0.75928	0.54117	0.07326	0.05569	0.01809	0.02905	0.02052	0.05028	0.4358	0.02878	0.47744	0.78975
0.67493	0.58495	0.03058	0.76543	0.52656	0.06841	0.05342	0.02817	0.02441	0.02106	0.05323	0.42281	0.02555	0.56021	0.80561
0.67124	0.62938	0.02243	0.7461	0.52276	0.06347	0.04341	0.03242	0.02797	0.02135	0.05224	0.4094	0.02964	0.5385	0.77355
0.67223	0.58722	0.03453	0.72733	0.50995	0.07121	0.06118	0.0375	0.03446	0.01898	0.04647	0.43267	0.02493	0.50331	0.7793
0.69506	0.57809	0.02816	0.6919	0.51074	0.0662	0.04931	0.02571	0.02725	0.02185	0.05929	0.39145	0.02656	0.53547	0.7861
0.69041	0.60335	0.02982	0.67678	0.47664	0.09248	0.05346	0.03719	0.01116	0.02335	0.03711	0.40271	0.02567	0.56293	0.7558
0.70842	0.55692	0.02883	0.64481	0.4384	0.06403	0.05383	0.03287	0.01816	0.0258	0.04511	0.39621	0.02743	0.5813	0.77451
0.70221	0.54457	0.03068	0.63181	0.41	0.0569	0.05304	0.02319	0.02331	0.0196	0.04574	0.38073	0.02904	0.59426	0.7458
0.70487	0.57451	0.0269	0.65729	0.46131	0.08752	0.04715	0.02181	0.02966	0.02551	0.04414	0.38886	0.02177	0.52229	0.75173
0.69652	0.57301	0.03052	0.6263	0.41221	0.06877	0.04537	0.02574	0.02683	0.02677	0.05093	0.41488	0.02458	0.56208	0.74956
0.74271	0.58236	0.02678	0.62175	0.41165	0.07435	0.04319	0.03169	0.02161	0.0205	0.0518	0.355	0.02281	0.51837	0.77645
0.70882	0.56451	0.02691	0.59983	0.40831	0.07251	0.04191	0.03579	0.02362	0.02929	0.05591	0.33343	0.02399	0.541	0.76302
0.73889	0.58774	0.02737	0.63488	0.38423	0.07369	0.04379	0.03122	0.02066	0.02644	0.04556	0.31951	0.01807	0.50945	0.7626
0.72658	0.55873	0.02611	0.64335	0.41939	0.07703	0.04177	0.02604	0.01959	0.02078	0.05463	0.32477	0.02371	0.50357	0.77337
0.71846	0.56651	0.0242	0.59511	0.38978	0.06767	0.03269	0.0304	0.036	0.01659	0.05455	0.33281	0.0246	0.44002	0.75058
0.72081	0.58715	0.03173	0.60758	0.37383	0.0725	0.0321	0.03426	0.02646	0.02143	0.04003	0.33772	0.02354	0.37928	0.78985
0.75193	0.59755	0.03218	0.60058	0.33206	0.0718	0.03372	0.02989	0.03601	0.02144	0.04553	0.32578	0.02421	0.50018	0.77096
0.77731	0.55517	0.02237	0.62314	0.38413	0.06068	0.02961	0.0283	0.02515	0.02032	0.04604	0.30179	0.02778	0.53189	0.76566
0.75302	0.5718	0.0306	0.60581	0.41472	0.08237	0.04274	0.03212	0.02397	0.01834	0.04728	0.26146	0.01646	0.50327	0.75289
0.81426	0.6218	0.03368	0.57853	0.37473	0.0893	0.02486	0.03258	0.02897	0.01637	0.04871	0.23687	0.01434	0.55302	0.76355
0.76241	0.58209	0.03399	0.57704	0.40128	0.06747	0.031	0.03169	0.0245	0.02115	0.04311	0.32746	0.0147	0.43356	0.76423
0.72955	0.56862	0.0281	0.5986	0.35028	0.06461	0.02218	0.0309	0.03361	0.01362	0.03585	0.30244	0.01449	0.46496	0.76824
0.78253	0.57989	0.02972	0.57141	0.35317	0.07379	0.03047	0.03526	0.02859	0.01498	0.04788	0.25475	0.01315	0.4481	0.75098
0.81052	0.59315	0.02886	0.57258	0.36043	0.06752	0.02716	0.03303	0.03077	0.01075	0.04856	0.2724	0.00707	0.49173	0.78947
0.79489	0.59754	0.02979	0.56697	0.35127	0.07118	0.02843	0.03263	0.02349	0.01249	0.03651	0.24719	0.00726	0.46236	0.78652
0.77968	0.62953	0.02949	0.56985	0.34945	0.08202	0.03239	0.03825	0.03052	0.00799	0.04126	0.27159	0.00693	0.3895	0.79102
0.75171	0.59927	0.02477	0.55568	0.33744	0.07048	0.03187	0.0283	0.03363	0.01149	0.04393	0.26588	0.00641	0.43354	0.75917
0.75908	0.55005	0.02198	0.50876	0.32044	0.08042	0.02461	0.03345	0.02322	0.0085	0.04326	0.27406	0.00501	0.43971	0.77623
0.84152	0.64297	0.0264	0.56705	0.3318	0.06989	0.02514	0.03677	0.0311	0.00644	0.04744	0.26391	0.00546	0.34672	0.79251
0.73925	0.59108	0.02172	0.56295	0.37314	0.05373	0.0274	0.03735	0.02755	0.00721	0.0333	0.26343	0.00523	0.38836	0.76674
0.85752	0.57954	0.0255	0.54112	0.37765	0.07205	0.02266	0.03436	0.03059	0.0074	0.04806	0.22004	0.00445	0.44766	0.75013
0.80113	0.58544	0.02212	0.56445	0.34125	0.07154	0.03048	0.03569	0.02632	0.00448	0.04376	0.23377	0.00387	0.37997	0.77467
0.84393	0.64182	0.02413	0.54741	0.41067	0.06729	0.02715	0.03323	0.02022	0.00353	0.02577	0.31644	0.00637	0.42174	0.77716
0.81259	0.62343	0.02601	0.55385	0.34596	0.08215	0.03402	0.02758	0.03397	0.00576	0.04357	0.27582	0.00432	0.29362	0.78112
0.83862	0.63198	0.03008	0.58514	0.33208	0.06221	0.03797	0.02806	0.03437	0.00472	0.03711	0.30966	0.0051	0.24866	0.78232
0.86777	0.60877	0.02682	0.53072	0.34198	0.05844	0.0379	0.03355	0.02418	0.0026	0.04238	0.3288	0.00518	0.36268	0.78038
0.78665	0.60141	0.0345	0.50494	0.3024	0.06236	0.03851	0.03427	0.0312	0.00312	0.03527	0.28221	0.00544	0.36374	0.78131
0.78068	0.57817	0.02386	0.51171	0.22737	0.09415	0.03566	0.04115	0.03046	0.00083	0.02428	0.29549	0.00302	0.40177	0.77032
0.86373	0.65292	0.0222	0.53784	0.24289	0.0828	0.02564	0.05026	0.03012	0.00249	0.03727	0.22491	0.00554	0.31956	0.7682
0.88698	0.67376	0.02421	0.49194	0.29804	0.07639	0.03741	0.0321	0.02005	0.00218	0.04266	0.28895	0.0032	0.33638	0.7874
0.92098	0.63897	0.02176	0.52137	0.29617	0.07126	0.02334	0.03297	0.02477	0.00169	0.04115	0.2407	0.0035	0.37717	0.76799
0.89051	0.58533	0.0209	0.51745	0.25924	0.06836	0.03109	0.03916	0.0269	0.00333	0.04026	0.26648	0.00169	0.31476	0.78918
0.84707	0.59003	0.02165	0.53343	0.27227	0.06367	0.03014	0.0378	0.02369	0.0035	0.04037	0.3033	0.00402	0.23913	0.76771
0.81583	0.55328	0.02303	0.55325	0.22658	0.06007	0.04246	0.0338	0.02465	0.00324	0.0282	0.27927	0.00374	0.23343	0.76601
0.84759	0.54206	0.02245	0.53139	0.19566	0.06603	0.03836	0.04418	0.02947	0.00167	0.03006	0.30606	0.00373	0.2075	0.75617
0.73127	0.51224	0.02147	0.52615	0.24254	0.0743	0.03624	0.04009	0.02751	0.00235	0.03436	0.25709	0.00314	0.24265	0.77634
0.79731	0.53788	0.01955	0.50879	0.30255	0.0731	0.04321	0.04057	0.02943	0.00146	0.02492	0.30267	0.0029	0.19629	0.76575
0.76283	0.51793	0.01871	0.51837	0.20798	0.08586	0.03558	0.03011	0.03643	0.00495	0.0328	0.2829	0.00534	0.22617	0.77443
0.87026	0.63328	0.01838	0.49926	0.23857	0.07159	0.0292	0.03289	0.03451	0.00121	0.0466	0.31354	0.0047	0.18895	0.77706
0.85692	0.56923	0.01896	0.46586	0.22681	0.07287	0.03529	0.03816	0.03524	0.00311	0.03257	0.28332	0.00456	0.3137	0.76628
0.74968	0.51763	0.01983	0.48577	0.17419	0.07855	0.0271	0.0524	0.02964	0.00258	0.03117	0.28614	0.00647	0.24129	0.77404
0.81195	0.44572	0.02016	0.4803	0.18038	0.08457	0.03543	0.0399	0.03605	0.00444	0.02417	0.28545	0.00328	0.15285	0.76489
0.80973	0.46408	0.01461	0.47519	0.21448	0.06853	0.03757	0.02891	0.02142	0.00155	0.02939	0.2823	0.00439	0.22637	0.77967
0.89298	0.55842	0.0154	0.45131	0.18371	0.06986	0.02468	0.03423	0.04137	0.00141	0.03054	0.28878	0.00197	0.2045	0.75309
0.88016	0.58707	0.02015	0.43516	0.33064	0.04866	0.02684	0.03471	0.02463	0.00096	0.02591	0.29673	0.00258	0.19617	0.75162
0.70262	0.39688	0.01937	0.46282	0.23064	0.10875	0.03395	0.0527	0.0296	0.00244	0.01913	0.2656	0.00358	0.23741	0.79236
0.8338	0.52635	0.01595	0.49219	0.27	0.06789	0.03201	0.03985	0.03975	0.0012	0.03031	0.24255	0.0008	0.17633	0.76926
