mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.27951	0.09579	0.00582	0.00868	0.02048	0.05351	0.07413	0.01531	0.01898	0.00409	0.0297	0.01458	0.00133	0.00668	0.0094
0.15896	0.07578	0.00499	0.00426	0.02144	0.04629	0.10543	0.02396	0.01558	0.00744	0.01077	0.01497	0.00342	0.00313	0.00417
0.09844	0.0798	0.00436	0.00879	0.01694	0.05411	0.07594	0.04106	0.00831	0.00863	0.00884	0.01822	0.00399	0.01107	0.0113
0.06937	0.0644	0.00452	0.00544	0.01788	0.03253	0.05512	0.02146	0.0158	0.01087	0.01564	0.0091	0.00097	0.01082	0.0137
0.05743	0.06741	0.00638	0.00517	0.01164	0.03942	0.06549	0.02378	0.01507	0.00581	0.01353	0.00521	0.00287	0.01445	0.01486
0.07704	0.06879	0.0041	0.00369	0.0176	0.08636	0.0415	0.02984	0.00873	0.00834	0.01178	0.01361	0.00222	0.00346	0.00505
0.05844	0.07035	0.00411	0.01063	0.01991	0.05173	0.0335	0.03675	0.00878	0.00539	0.00867	0.01169	0.00583	0.00958	0.00698
0.14113	0.14456	0.00546	0.00461	0.01548	0.11501	0.02944	0.03794	0.01726	0.00444	0.01252	0.0169	0.00475	0.00624	0.00712
0.05976	0.06255	0.00382	0.00531	0.03352	0.09258	0.03283	0.03159	0.00807	0.00263	0.00695	0.00985	0.00332	0.00932	0.01149
0.09148	0.09088	0.00554	0.00825	0.00602	0.08685	0.03127	0.0413	0.00986	0.00303	0.01331	0.01843	0.00326	0.01282	0.01212
0.09223	0.09607	0.00498	0.01036	0.0137	0.12666	0.03104	0.05505	0.00455	0.00645	0.00626	0.03935	0.00301	0.00951	0.00566
0.08854	0.09429	0.00717	0.00609	0.02396	0.09531	0.02877	0.04897	0.00952	0.00302	0.01304	0.03378	0.00861	0.00559	0.00867
0.07234	0.09336	0.00592	0.00694	0.00621	0.14493	0.02554	0.03736	0.00371	0.00472	0.0081	0.02458	0.00206	0.00862	0.00893
0.07353	0.11366	0.00241	0.00819	0.01265	0.07579	0.02763	0.03237	0.0041	0.00611	0.01055	0.02562	0.00377	0.00775	0.01052
0.06996	0.0864	0.00351	0.00258	0.00567	0.12838	0.02664	0.05433	0.00549	0.00509	0.00871	0.03186	0.00159	0.00399	0.00828
0.06061	0.05215	0.00196	0.00864	0.00819	0.08059	0.02392	0.03684	0.00404	0.00583	0.00746	0.02347	0.00466	0.00682	0.01227
0.07925	0.09052	0.00241	0.00518	0.01825	0.08852	0.02386	0.0361	0.01022	0.0052	0.01015	0.04878	0.00348	0.00561	0.00422
0.08491	0.1024	0.00466	0.0174	0.0088	0.08002	0.0243	0.02538	0.00541	0.00299	0.01541	0.03941	0.00213	0.00899	0.00897
0.08935	0.13583	0.0064	0.0134	0.00932	0.0967	0.03583	0.02228	0.01186	0.00289	0.01245	0.03303	0.00169	0.01311	0.0088
0.07481	0.09371	0.00533	0.01063	0.01144	0.09363	0.02283	0.02942	0.00698	0.00423	0.00881	0.02551	0.00289	0.00967	0.01235
0.10075	0.12389	0.00348	0.00517	0.00866	0.09003	0.01923	0.03979	0.00719	0.00293	0.01181	0.01995	0.00561	0.00416	0.00573
0.08468	0.11576	0.00397	0.00855	0.02015	0.06805	0.02501	0.03076	0.00843	0.00479	0.01192	0.0188	0.0056	0.00704	0.00214
0.10706	0.13132	0.0041	0.00217	0.00727	0.0878	0.02294	0.02468	0.00818	0.00241	0.00488	0.01523	0.00455	0.00161	0.00397
0.05215	0.12566	0.00445	0.0056	0.01279	0.10152	0.02624	0.03197	0.00555	0.00341	0.01629	0.0402	0.00138	0.00512	0.00734
0.10172	0.11831	0.00613	0.0085	0.01562	0.13704	0.01842	0.04179	0.00558	0.00301	0.00897	0.01633	0.00303	0.0113	0.00969
0.06203	0.08339	0.00524	0.01038	0.00204	0.09663	0.02252	0.04395	0.00591	0.00315	0.01201	0.00834	0.0012	0.01634	0.00415
0.07478	0.08489	0.00438	0.00526	0.00973	0.09108	0.02244	0.04017	0.00781	0.00408	0.00453	0.023	0.00413	0.00681	0.0076
0.07467	0.09752	0.00537	0.00896	0.00964	0.08966	0.01712	0.05591	0.007	0.00311	0.0054	0.03488	0.00287	0.00558	0.00579
0.07259	0.08379	0.00363	0.01444	0.00775	0.08659	0.0166	0.03033	0.00791	0.0027	0.00815	0.04881	0.00428	0.00846	0.00636
0.06086	0.07518	0.00278	0.00567	0.00962	0.06632	0.02168	0.03714	0.00852	0.00409	0.00535	0.02267	0.00156	0.01286	0.00723
0.06145	0.11954	0.00365	0.00258	0.01431	0.07368	0.02989	0.02532	0.01246	0.00416	0.00474	0.02346	0.00274	0.00732	0.00416
0.0358	0.03856	0.00239	0.00341	0.00824	0.06471	0.0226	0.03835	0.01329	0.00198	0.00463	0.02814	0.00495	0.00551	0.0065
0.07747	0.10291	0.00391	0.0077	0.0111	0.06351	0.02493	0.03389	0.01208	0.00246	0.00369	0.04303	0.0034	0.00996	0.00916
0.04975	0.05922	0.00316	0.00713	0.0155	0.04315	0.02142	0.02406	0.00999	0.00233	0.00308	0.03009	0.00413	0.00624	0.0063
0.04132	0.05626	0.00395	0.00974	0.00651	0.01898	0.02206	0.01886	0.00901	0.00162	0.0042	0.02748	0.00484	0.00557	0.00585
0.04533	0.08887	0.00269	0.00446	0.01165	0.02713	0.01784	0.02174	0.00883	0.00259	0.00856	0.02121	0.00122	0.00506	0.00804
0.04509	0.0609	0.00231	0.00731	0.00373	0.0245	0.01637	0.01431	0.00964	0.0021	0.00316	0.01616	0.00272	0.01099	0.01332
0.07881	0.09624	0.00214	0.00559	0.00848	0.04585	0.02462	0.02404	0.00945	0.00259	0.00655	0.01228	0.00467	0.01398	0.0128
0.0531	0.08436	0.00129	0.00796	0.01005	0.03096	0.01963	0.0179	0.01002	0.00277	0.00365	0.0157	0.00149	0.00893	0.0141
0.07804	0.11039	0.00189	0.01423	0.00969	0.04788	0.02366	0.01689	0.01011	0.00262	0.00464	0.01818	0.00252	0.00702	0.00886
0.06407	0.12183	0.00306	0.00474	0.00805	0.07784	0.02475	0.02655	0.00857	0.00241	0.00388	0.02243	0.00197	0.00968	0.01389
0.07827	0.11301	0.00464	0.0085	0.00919	0.07525	0.02752	0.01445	0.00555	0.0016	0.00583	0.01037	0.00141	0.00828	0.01428
0.09113	0.12633	0.00324	0.00934	0.00828	0.0724	0.02672	0.01038	0.01092	0.00136	0.00418	0.0186	0.0037	0.01145	0.00835
0.11193	0.13623	0.00605	0.02302	0.00738	0.13591	0.02021	0.02498	0.01151	0.00091	0.00356	0.0245	0.00283	0.01636	0.01111
0.04368	0.08959	0.0063	0.00787	0.01764	0.07824	0.01856	0.02269	0.01113	0.00226	0.01122	0.03017	0.0016	0.01487	0.00908
0.06598	0.09389	0.00669	0.0071	0.02024	0.0826	0.02432	0.02224	0.0162	0.00183	0.00518	0.03659	0.00343	0.01147	0.00443
0.0312	0.04838	0.00369	0.00524	0.0109	0.04559	0.01637	0.02343	0.00875	0.00196	0.00349	0.01784	0.00149	0.00978	0.00917
0.0475	0.05129	0.0021	0.00239	0.01361	0.10372	0.0159	0.03872	0.01281	0.00151	0.00496	0.02835	0.00205	0.0104	0.00849
0.05256	0.05538	0.0029	0.00799	0.02663	0.10414	0.01709	0.02115	0.01661	0.002	0.00585	0.02524	0.00253	0.01587	0.01208
0.06283	0.08744	0.00313	0.00465	0.01603	0.09066	0.01633	0.02655	0.01609	0.00178	0.00797	0.02775	0.00205	0.00447	0.00415
0.02977	0.05497	0.00376	0.00781	0.01093	0.08656	0.02057	0.01691	0.02274	0.00279	0.00666	0.03321	0.00255	0.02074	0.01288
0.02181	0.03696	0.00587	0.00901	0.01668	0.07331	0.0188	0.01865	0.02868	0.00129	0.00847	0.02207	0.00157	0.01168	0.01265
0.05407	0.05793	0.00476	0.00307	0.02787	0.09523	0.01709	0.02713	0.02284	0.00172	0.00619	0.01976	0.00193	0.00974	0.00739
0.03875	0.05463	0.00338	0.00395	0.01589	0.11502	0.01414	0.03472	0.01998	0.00212	0.00948	0.02779	0.00081	0.00627	0.00561
0.06366	0.05759	0.00538	0.00434	0.01929	0.07484	0.01602	0.02719	0.01482	0.00148	0.00715	0.02611	0.0018	0.00698	0.00898
0.04206	0.0519	0.00724	0.00618	0.00858	0.06388	0.0109	0.02439	0.0084	0.00155	0.00876	0.02211	0.00099	0.00574	0.00461
0.04192	0.05368	0.00806	0.00372	0.00648	0.07315	0.01789	0.02501	0.02015	0.002	0.00825	0.0269	0.00241	0.0066	0.00503
0.07125	0.06876	0.00439	0.00477	0.01627	0.08114	0.01865	0.02048	0.01667	0.00167	0.00748	0.02249	0.00109	0.00798	0.01266
0.0569	inf	0.00545	0.00235	0.02019	0.05327	0.01525	0.01541	0.01008	0.00088	0.00396	0.01722	0.00092	0.00907	0.00922
0.05233	0.06421	0.00245	0.00213	0.01171	0.06159	0.01696	0.02084	0.01937	0.00221	0.00443	0.0122	0.00051	0.00657	0.00596
0.12686	0.12159	0.00442	0.00786	0.012	0.1066	0.01213	0.02945	0.01849	0.00265	0.00632	0.02481	0.00437	0.01283	0.00718
0.06996	0.07603	0.00208	0.0033	0.02203	0.08375	0.01157	0.02075	0.01616	0.0015	0.00659	0.02913	0.00267	0.00271	0.00521
0.06301	0.06991	0.00309	0.00714	0.00698	0.06601	0.01383	0.02126	0.02176	0.00203	0.00399	0.01724	0.00542	0.00517	0.00589
0.07388	0.07842	0.00532	0.00838	0.00991	0.07908	0.0109	0.01676	0.01923	0.00224	0.00303	0.01436	0.00089	0.0081	0.00651
0.06074	0.06422	0.00372	0.00571	0.00884	0.08593	0.01143	0.01928	0.02735	0.00164	0.0026	0.01112	0.00438	0.00418	0.0057
0.06124	0.05668	0.00198	0.00637	0.00876	0.07421	0.01177	0.01641	0.02788	0.00204	0.00474	0.0191	0.00273	0.0065	0.0052
0.06979	0.08035	0.00185	0.00836	0.01459	0.10377	0.0157	0.02137	0.03294	0.00161	0.00405	0.02904	0.00235	0.00556	0.00505
0.0867	0.11175	0.00286	0.00501	0.02856	0.12558	0.01891	0.02134	0.0349	0.00214	0.0055	0.02612	0.00126	0.00459	0.00642
0.05755	0.07178	0.00104	0.00406	0.01699	0.08206	0.01715	0.01947	0.02372	0.00278	0.00455	0.02064	0.00466	0.00274	0.00546
0.035	0.04395	0.00173	0.00829	0.01531	0.05641	0.01645	0.00899	0.01921	0.00149	0.0048	0.02659	0.00528	0.00814	0.01113
0.04774	0.07585	0.00154	0.00329	0.03138	0.04966	0.01642	0.01017	0.01659	0.00356	0.00717	0.01946	0.00158	0.00483	0.00558
0.04696	0.07115	0.00282	0.00494	0.01423	0.0406	0.02016	0.01284	0.01122	0.00152	0.01358	0.0149	0.00207	0.00622	0.00783
0.05093	0.07898	0.0017	0.00751	0.0152	0.03398	0.01885	0.01226	0.01045	0.0032	0.01469	0.01388	0.00573	0.0119	0.01113
0.0265	0.04997	0.00375	0.0071	0.016	0.02684	0.0212	0.0171	0.00729	0.00124	0.00601	0.01791	0.00378	0.00664	0.00631
0.04003	0.05925	0.00306	0.00419	0.03426	0.03875	0.01798	0.01541	0.0137	0.00166	0.00363	0.03405	0.00061	0.00397	0.00535
0.06103	0.06435	0.00367	0.0043	0.01442	0.03562	0.01579	0.01138	0.02163	0.00105	0.00323	0.03002	0.00147	0.00617	0.01083
0.05777	0.07552	0.00567	0.00237	0.01654	0.08003	0.01327	0.02526	0.01946	0.0011	0.00367	0.03097	0.00242	0.00289	0.00471
0.05534	0.06691	0.00288	0.00675	0.00557	0.06361	0.01353	0.01177	0.01533	0.0008	0.00294	0.03594	0.00194	0.01043	0.00521
0.06577	0.05792	0.00182	0.00659	0.01659	0.09159	0.01853	0.01684	0.01554	0.00098	0.00215	0.03524	0.0019	0.00737	0.00654
0.08391	0.10456	0.00193	0.00329	0.01306	0.08843	0.0149	0.02308	0.01731	0.00111	0.00292	0.02927	0.00248	0.00598	0.00744
0.05654	0.07021	0.00146	0.00392	0.01491	0.07249	0.01273	0.02177	0.01034	0.00272	0.00236	0.02511	0.00442	0.00335	0.00797
0.04406	0.04668	0.00184	0.00383	0.01338	0.06841	0.01211	0.02751	0.00883	0.00205	0.00212	0.02312	0.00118	0.0025	0.00426
0.06473	0.07499	0.00223	0.00349	0.01513	0.09951	0.02204	0.03338	0.00953	0.00259	0.00328	0.02649	0.00091	0.00912	0.0101
0.05164	0.06214	0.00287	0.01031	0.01262	0.12564	0.01638	0.03751	0.01217	0.00178	0.00558	0.02465	0.00349	0.01009	0.01231
0.0492	0.04707	0.00391	0.0087	0.01611	0.06384	0.01515	0.02133	0.00688	0.00141	0.0035	0.03104	0.00258	0.0113	0.01094
0.07008	0.06977	0.00673	0.00247	0.00722	0.11163	0.02262	0.02321	0.01078	0.00131	0.00277	0.0278	0.00145	0.00519	0.00825
0.03737	0.04118	0.00712	0.00313	0.00399	0.0932	0.02214	0.02626	0.01205	0.0015	0.00795	0.02997	0.00311	0.00649	0.00503
0.04086	0.04465	0.00532	0.00351	0.0104	0.05875	0.01492	0.01551	0.01215	0.00121	0.01008	0.04593	0.00176	0.00764	0.00947
0.03371	0.02433	0.00328	0.00894	0.01333	0.06208	0.00981	0.01799	0.01613	0.00334	0.00785	0.02667	0.00226	0.00788	0.0142
0.03772	0.03859	0.00349	0.00239	0.00546	0.07525	0.01083	0.02228	0.01599	0.00158	0.00739	0.0244	0.00225	0.00349	0.0041
0.04338	0.04207	0.00269	0.00563	0.01233	0.09876	0.01581	0.0381	0.01732	0.00136	0.00761	0.01633	0.00166	0.00514	0.00658
0.01661	0.01605	0.00216	0.00499	0.00703	0.02861	0.01936	0.01307	0.01576	0.00169	0.00404	0.01582	0.0023	0.00828	0.00673
0.04397	0.0532	0.00251	0.00557	0.01613	0.05027	0.01555	0.01945	0.01796	0.00267	0.0078	0.01205	0.00159	0.00842	0.00882
0.03284	0.03355	0.00188	0.0054	0.01267	0.05048	0.02346	0.02249	0.01672	0.00165	0.00578	0.02082	0.00407	0.00489	0.00701
0.04585	0.05017	0.00267	0.00712	0.00938	0.05712	0.0166	0.02413	0.02059	0.00302	0.0059	0.02075	0.00324	0.00648	0.00847
0.08996	0.09001	0.00212	0.00401	0.00602	0.07248	0.01574	0.02838	0.01971	0.00179	0.00664	0.01991	0.00739	0.00923	0.00398
0.04694	0.04678	0.00318	0.00411	0.00486	0.058	0.01527	0.01548	0.02002	0.00211	0.00449	0.02549	0.00493	0.0039	0.00494
0.02266	0.02976	0.00324	0.00535	0.01196	0.06746	0.01894	0.0215	0.00844	0.00132	0.00518	0.03243	0.00337	0.00482	0.0053
0.05076	0.06073	0.00125	0.00476	0.00956	0.06248	0.014	0.01494	0.00819	0.00227	0.00644	0.02944	0.00242	0.00666	0.00612
0.04301	inf	0.00296	0.00859	0.01042	0.08819	0.02139	0.02662	0.00811	0.00171	0.009	0.02922	0.00338	0.02246	0.0121
0.02308	0.02457	0.00224	0.00788	0.01122	0.08815	0.01944	0.01967	0.00821	0.00121	0.00529	0.03097	0.00402	0.00973	0.00717
0.02775	0.03119	0.00213	0.00686	0.0111	0.06091	0.01786	0.01542	0.0104	0.00125	0.00549	0.02838	0.00168	0.00647	0.00388
0.03666	0.03992	0.00273	0.01264	0.02126	0.05642	0.02636	0.02538	0.00704	0.00114	0.00722	0.03331	0.00133	0.00773	0.00989
0.03153	0.05378	0.00291	0.01035	0.01037	0.04661	0.01761	0.01825	0.00865	0.0015	0.00362	0.02519	0.00535	0.01462	0.01161
