mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.03847	0.0162	0.02935	0.09289	0.00397	0.01789	0.02944	0.01049	0.00732	0.03102	0.02894	0.0363	0.02772	0.03562	0.04087
0.09408	0.02267	0.03023	0.11161	0.00194	0.01479	0.03108	0.01847	0.0082	0.03357	0.02902	0.03333	0.03123	0.02939	0.03983
0.04984	0.01775	0.02748	0.09239	0.01179	0.0156	0.03094	0.01518	0.00782	0.02993	0.02595	0.04796	0.02683	0.03691	0.03611
0.04507	0.01593	0.02598	0.08364	0.00192	0.01528	0.028	0.00883	0.00879	0.02803	0.02819	0.03918	0.02918	0.0425	0.02912
0.03983	0.0187	0.02966	0.08192	0.00454	0.02057	0.02764	0.01217	0.00854	0.02792	0.02551	0.03601	0.02593	0.03624	0.02691
0.03932	0.0159	0.02598	0.08254	0.00438	0.01885	0.02849	0.01107	0.00865	0.03249	0.02452	0.02478	0.02959	0.05005	0.03372
0.03354	0.01874	0.02382	0.08306	0.00349	0.0217	0.02392	0.02922	0.01072	0.03083	0.02394	0.02673	0.02376	0.0497	0.02782
0.04028	0.01513	0.03011	0.09247	0.00651	0.01524	0.02966	0.01272	0.00788	0.02693	0.02842	0.03751	0.027	0.05011	0.03275
0.03495	0.01496	0.02346	0.08107	0.00303	0.02014	0.03358	0.01416	0.0162	0.02801	0.02328	0.0207	0.02588	0.04921	0.02456
0.03794	0.01736	0.029	0.07546	0.00485	0.01683	0.02952	0.01508	0.01168	0.02736	0.02269	0.0211	0.02728	0.04861	0.02376
0.03773	0.01684	0.02601	0.06034	0.00277	0.01757	0.03014	0.01537	0.02048	0.02951	0.02113	0.02541	0.0268	0.05016	0.0217
0.02787	0.01515	0.03055	0.06814	0.00424	0.01819	0.02651	0.01668	0.00997	0.02846	0.02385	0.0213	0.02655	0.04587	0.02289
0.0305	0.01563	0.02839	0.05788	0.00435	0.01552	0.02775	0.01938	0.00919	0.02401	0.01795	0.01824	0.02455	0.04832	0.02211
0.02903	0.01471	0.02974	0.06484	0.00611	0.01583	0.03132	0.01341	0.00906	0.02393	0.01651	0.01948	0.02383	0.04797	0.01991
0.03098	0.0161	0.02491	0.0638	0.0055	0.01961	0.03422	0.02134	0.00688	0.02223	0.01311	0.01311	0.02484	0.04176	0.02186
0.02818	0.01489	0.0268	0.05947	0.00597	0.01918	0.02677	0.025	0.01054	0.02032	0.00832	0.0174	0.02511	0.05196	0.0168
0.0261	0.01906	0.02995	0.05269	0.00665	0.01348	0.03	0.01451	0.00746	0.02226	0.00847	0.0128	0.02572	0.03881	0.01584
0.03286	0.02014	0.02865	0.05961	0.00577	0.01616	0.03255	0.01588	0.00575	0.02283	0.00811	0.02094	0.02539	0.04261	0.01755
0.03037	0.02097	0.02718	0.04287	0.00795	0.01775	0.02711	0.01632	0.00985	0.02173	0.00574	0.00675	0.01823	0.04928	0.0188
0.02468	0.01545	0.02942	0.04169	0.01321	0.01714	0.02318	0.0126	0.00716	0.0201	0.00561	0.00704	0.01816	0.04496	0.01736
0.02435	0.01526	0.02299	0.03831	0.01762	0.01365	0.02811	0.01363	0.0093	0.01805	0.00658	0.0096	0.0203	0.05122	0.0205
0.0235	0.01658	0.03115	0.02987	0.00803	0.01604	0.03376	0.02149	0.00542	0.01888	0.00488	0.03422	0.02195	0.05332	0.01669
0.01993	0.0132	0.02701	0.05317	0.00936	0.01743	0.02756	0.01446	0.00614	0.01563	0.00785	0.0205	0.01689	0.05722	0.0188
0.01897	0.01461	0.02295	0.03095	0.01213	0.01587	0.02502	0.01961	0.00733	0.02068	0.00645	0.01292	0.01753	0.04245	0.01704
0.0199	0.01748	0.02897	0.03095	0.01228	0.01209	0.02658	0.01389	0.00563	0.01837	0.0054	0.00863	0.02037	0.03963	0.01658
0.02015	0.01552	0.02757	0.02264	0.01125	0.01521	0.02933	0.01414	0.0084	0.01952	0.01164	0.00846	0.01576	0.04526	0.01596
0.02117	0.01625	0.02926	0.02649	0.01105	0.01797	0.02652	0.01765	0.00865	0.01809	0.00632	0.01109	0.01697	0.04344	0.01788
0.02052	0.0171	0.02505	0.01942	0.00604	0.01519	0.02606	0.01443	0.01003	0.01589	0.00715	0.01922	0.01841	0.04876	0.0119
0.01723	0.01508	0.02393	0.02055	0.00917	0.01465	0.02866	0.01316	0.0084	0.01234	0.00815	0.0173	0.01549	0.05115	0.01321
0.02183	0.01826	0.0325	0.02128	0.00759	0.01322	0.02778	0.02032	0.00986	0.01551	0.00366	0.02484	0.01291	0.04942	0.01271
0.01949	0.01813	0.02897	0.01688	0.01034	0.01342	0.02717	0.02041	0.00857	0.01354	0.00904	0.01657	0.0141	0.0435	0.0128
0.02206	0.02312	0.02781	0.0126	0.00862	0.01322	0.02984	0.01817	0.00878	0.01413	0.01567	0.02711	0.0139	0.04523	0.01307
0.02225	0.02122	0.02547	0.01502	0.01162	0.0177	0.02789	0.01533	0.00663	0.01266	0.02455	0.0135	0.01258	0.03851	0.01105
0.01858	0.01929	0.02449	0.00972	0.0083	0.01541	0.02822	0.01221	0.00637	0.01582	0.00576	0.01467	0.01558	0.04693	0.01682
0.02265	0.0206	0.02884	0.01079	0.00778	0.01519	0.03076	0.01658	0.00479	0.01504	0.00564	0.0261	0.01689	0.04487	0.01149
0.01875	0.01771	0.02471	0.01119	0.00686	0.01888	0.03135	0.01166	0.00574	0.01777	0.01087	0.02873	0.01202	0.04558	0.01237
0.01092	0.01321	0.02754	0.01282	0.00938	0.01465	0.03034	0.01374	0.00595	0.0144	0.01696	0.01686	0.01443	0.04052	0.01176
0.01741	0.01834	0.02661	0.00938	0.00641	0.01349	0.03095	0.01426	0.00716	0.01258	0.01116	0.02108	0.01304	0.04774	0.01039
0.01203	0.01407	0.02614	0.01042	0.00622	0.01919	0.03185	0.01329	0.0088	0.01431	0.00908	0.01802	0.01242	0.04242	0.01501
0.0134	0.01322	0.02375	0.0089	0.01344	0.01704	0.02423	0.01551	0.00764	0.01379	0.02215	0.01702	0.01208	0.04351	0.01234
0.01555	0.01488	0.02523	0.01205	0.00702	0.01391	0.02749	0.01717	0.00611	0.01334	0.01489	0.04349	0.01202	0.04951	0.01367
0.01873	0.01801	0.02561	0.00592	0.00903	0.01773	0.02849	0.01565	0.00682	0.01106	0.01155	0.02104	0.01133	0.03731	0.01115
0.01946	0.01918	0.02765	0.0149	0.00614	0.01958	0.03106	0.01555	0.00958	0.01228	0.0137	0.02033	0.01319	0.04281	0.01479
0.01955	0.0169	0.02245	0.00974	0.00619	0.01567	0.0292	0.01093	0.00717	0.0139	0.01264	0.0191	0.01272	0.04192	0.01411
0.02048	0.01864	0.02461	0.00631	0.01323	0.01894	0.029	0.01391	0.00811	0.00917	0.00772	0.01608	0.01292	0.03459	0.00958
0.01599	0.01487	0.0248	0.00651	0.00518	0.01589	0.0313	0.01531	0.00736	0.0139	0.01373	0.01394	0.01522	0.04419	0.01051
0.01689	0.01774	0.02848	0.00716	0.00715	0.01626	0.03246	0.02312	0.00495	0.01088	0.00551	0.01731	0.01167	0.04079	0.00985
0.01895	0.01786	0.02606	0.00723	0.00967	0.01909	0.02645	0.0117	0.00851	0.01129	0.00417	0.01731	0.01052	0.03581	0.01111
0.01766	0.01912	0.02497	0.00431	0.0071	0.01883	0.03094	0.01537	0.00969	0.01508	0.01164	0.01528	0.00893	0.03111	0.00743
0.01314	0.01339	0.02621	0.00625	0.00982	0.01772	0.02473	0.01265	0.00845	0.00999	0.00909	0.03822	0.01231	0.03494	0.01246
0.01294	0.01328	0.02467	0.00983	0.00974	0.01665	0.02718	0.01644	0.01004	0.01336	0.00436	0.02743	0.00925	0.03825	0.01336
0.01616	0.01611	0.02481	0.00778	0.00713	0.01806	0.02826	0.01336	0.00954	0.01043	0.00604	0.02829	0.01026	0.03478	0.01104
0.02114	0.02065	0.02693	0.00609	0.0079	0.02009	0.02977	0.01492	0.00671	0.0092	0.0069	0.04182	0.01005	0.02968	0.01214
0.01793	0.01847	0.02358	0.00419	0.01164	0.0201	0.02731	0.01065	0.01302	0.00911	0.00825	0.01545	0.00734	0.02886	0.00903
0.01551	0.01445	0.02287	0.00683	0.00981	0.01509	0.0266	0.011	0.00752	0.00913	0.00454	0.02141	0.00856	0.03063	0.01082
0.01326	0.01195	0.02513	0.00448	0.00918	0.02312	0.02828	0.0143	0.00783	0.01037	0.00641	0.02615	0.01228	0.0317	0.01117
0.01647	0.01723	0.02199	0.00377	0.00664	0.02069	0.03189	0.0123	0.0077	0.00975	0.00566	0.02242	0.01041	0.02332	0.0075
0.01643	0.01568	0.02174	0.00645	0.0109	0.01814	0.02835	0.01023	0.00907	0.01098	0.00606	0.03493	0.01106	0.02828	0.01026
0.01663	0.01507	0.02706	0.0036	0.00983	0.01825	0.02986	0.01236	0.0106	0.00997	0.00581	0.03061	0.01224	0.02584	0.00764
0.02294	0.02195	0.01896	0.00518	0.01805	0.01638	0.0277	0.01373	0.00748	0.0078	0.00776	0.02092	0.00781	0.01745	0.00889
0.01987	0.01674	0.02486	0.00304	0.00784	0.01616	0.0294	0.01272	0.00764	0.00815	0.00287	0.02211	0.00828	0.01898	0.0057
0.01959	0.02135	0.02123	0.00856	0.00736	0.01698	0.02962	0.01024	0.00881	0.00837	0.00449	0.02201	0.01038	0.02378	0.01026
0.01167	0.01227	0.01886	0.00408	0.00977	0.01754	0.03194	0.01249	0.01007	0.00994	0.00742	0.04207	0.00909	0.02226	0.01111
0.01653	0.0164	0.02028	0.002	0.02612	0.01765	0.02833	0.01738	0.0105	0.01115	0.0059	0.04628	0.0083	0.01607	0.00762
0.01682	0.01661	0.02268	0.00233	0.00844	0.01563	0.02835	0.01339	0.00895	0.01013	0.01285	0.03095	0.00648	0.02124	0.0063
0.01657	0.01825	0.0206	0.00249	0.01197	0.02385	0.02667	0.01682	0.00828	0.00808	0.00527	0.03024	0.00648	0.01385	0.00698
0.021	0.02222	0.01955	0.00658	0.00647	0.02287	0.02734	0.01372	0.00863	0.01169	0.00989	0.03594	0.00737	0.01933	0.00917
0.01382	0.01294	0.02458	0.0035	0.01213	0.01646	0.02743	0.0115	0.01035	0.00711	0.00738	0.03284	0.01034	0.01452	0.0061
0.0135	0.01414	0.0188	0.00453	0.01042	0.0182	0.0303	0.01495	0.00829	0.01022	0.00455	0.0222	0.0094	0.0169	0.0086
0.01566	0.01494	0.02141	0.00364	0.00877	0.02226	0.02553	0.01241	0.00941	0.00751	0.00434	0.01745	0.01001	0.01615	0.00912
0.01748	0.01738	0.01825	0.00287	0.01005	0.01974	0.02551	0.01101	0.00736	0.00552	0.01255	0.03583	0.00901	0.01367	0.00638
0.01761	0.01683	0.01846	0.00682	0.00836	0.01985	0.03038	0.01169	0.00687	0.00459	0.01016	0.0144	0.00852	0.01778	0.01072
0.01732	0.01672	0.01583	0.00896	0.00954	0.02307	0.02664	0.01152	0.00951	0.00771	0.00812	0.0219	0.00851	0.02102	0.01003
